Pleasure,Arousal,Dominance
-,-,-
+,+,+
+,+,-
+,-,+
+,-,-
-,+,+
-,+,-
-,-,+
-,-,-
-,-,-
+,+,+
+,+,-
+,-,+
+,-,-
-,-,-
+,+,+
+,+,-
+,-,+
+,-,-
-,+,+
-,+,-
-,-,+
-,-,-
-,-,-
+,+,+
+,+,-
+,-,+
+,-,-
-,-,-
+,+,+
+,+,-
+,-,+
+,-,-
-,+,+
-,+,-
-,-,+
-,-,-
-,-,-
+,+,+
+,+,-
+,-,+
+,-,-
-,-,-
+,+,+
+,+,-
+,-,+
+,-,-
-,+,+
-,+,-
-,-,+
-,-,-
-,-,-
+,+,+
+,+,-
+,-,+
+,-,-
-,-,-
+,+,+
+,+,-
+,-,+
+,-,-
-,+,+
-,+,-
-,-,+
-,-,-
-,-,-
+,+,+
+,+,-
+,-,+
+,-,-
-,-,-
+,+,+
+,+,-
+,-,+
+,-,-
-,+,+
